,nprogs,prob,iter,potency_diff
0,1,0.2,0,0.36442859972271735
1,1,0.2,1,0.44563279857397503
2,1,0.2,2,0.44563279857397503
3,1,0.2,3,0.44563279857397503
4,1,0.2,4,0.36442859972271735
5,1,0.3,0,0.28995840760546643
6,1,0.3,1,0.28995840760546643
7,1,0.3,2,0.28995840760546643
8,1,0.3,3,0.3929490988314518
9,1,0.3,4,0.28995840760546643
10,1,0.4,0,0.28995840760546643
11,1,0.4,1,0.28995840760546643
12,1,0.4,2,0.21152703505644682
13,1,0.4,3,0.21152703505644682
14,1,0.4,4,0.28995840760546643
15,1,0.5,0,0.28995840760546643
16,1,0.5,1,0.1081402257872846
17,1,0.5,2,0.21152703505644682
18,1,0.5,3,0.21152703505644682
19,1,0.5,4,0.21152703505644682
20,1,0.6,0,0.21152703505644682
21,1,0.6,1,0.21152703505644682
22,1,0.6,2,0.21152703505644682
23,1,0.6,3,0.10873440285204991
24,1,0.6,4,0.21152703505644682
25,1,0.7,0,0.10873440285204991
26,1,0.7,1,0.10873440285204991
27,1,0.7,2,0.21152703505644682
28,1,0.7,3,0.0
29,1,0.7,4,0.10873440285204991
30,1,0.8,0,0.10873440285204991
31,1,0.8,1,0.0
32,1,0.8,2,0.21152703505644682
33,1,0.8,3,0.0
34,1,0.8,4,0.10873440285204991
35,1,0.9,0,0.0
36,1,0.9,1,0.0
37,1,0.9,2,0.0
38,1,0.9,3,0.0
39,1,0.9,4,0.0
40,2,0.2,0,0.12735195088136264
41,2,0.2,1,0.11130917013269954
42,2,0.2,2,0.11130917013269954
43,2,0.2,3,0.11130917013269954
44,2,0.2,4,0.12735195088136264
45,2,0.3,0,0.15012873836403248
46,2,0.3,1,0.15012873836403248
47,2,0.3,2,0.15012873836403248
48,2,0.3,3,0.15587244999009706
49,2,0.3,4,0.15012873836403248
50,2,0.4,0,0.15012873836403248
51,2,0.4,1,0.15012873836403248
52,2,0.4,2,0.16894434541493364
53,2,0.4,3,0.16894434541493364
54,2,0.4,4,0.15012873836403248
55,2,0.5,0,0.15012873836403248
56,2,0.5,1,0.1628045157456922
57,2,0.5,2,0.16894434541493364
58,2,0.5,3,0.16894434541493364
59,2,0.5,4,0.16894434541493364
60,2,0.6,0,0.16894434541493364
61,2,0.6,1,0.16894434541493364
62,2,0.6,2,0.16894434541493364
63,2,0.6,3,0.16339869281045752
64,2,0.6,4,0.16894434541493364
65,2,0.7,0,0.16339869281045752
66,2,0.7,1,0.16339869281045752
67,2,0.7,2,0.16894434541493364
68,2,0.7,3,0.15191126955832837
69,2,0.7,4,0.16339869281045752
70,2,0.8,0,0.16339869281045752
71,2,0.8,1,0.0
72,2,0.8,2,0.16894434541493364
73,2,0.8,3,0.15191126955832837
74,2,0.8,4,0.16339869281045752
75,2,0.9,0,0.0
76,2,0.9,1,0.0
77,2,0.9,2,0.0
78,2,0.9,3,0.0
79,2,0.9,4,0.0
80,3,0.2,0,0.09665280253515547
81,3,0.2,1,0.11170528817587641
82,3,0.2,2,0.11170528817587641
83,3,0.2,3,0.11170528817587641
84,3,0.2,4,0.09665280253515547
85,3,0.3,0,0.13804713804713806
86,3,0.3,1,0.13804713804713806
87,3,0.3,2,0.13804713804713806
88,3,0.3,3,0.06159635571400277
89,3,0.3,4,0.13804713804713806
90,3,0.4,0,0.13804713804713806
91,3,0.4,1,0.13804713804713806
92,3,0.4,2,0.08239255298078828
93,3,0.4,3,0.08239255298078828
94,3,0.4,4,0.13804713804713806
95,3,0.5,0,0.13804713804713806
96,3,0.5,1,0.10675381263616558
97,3,0.5,2,0.08239255298078828
98,3,0.5,3,0.08239255298078828
99,3,0.5,4,0.08239255298078828
100,3,0.6,0,0.08239255298078828
101,3,0.6,1,0.08239255298078828
102,3,0.6,2,0.08239255298078828
103,3,0.6,3,0.10853634383046147
104,3,0.6,4,0.026143790849673203
105,3,0.7,0,0.10853634383046147
106,3,0.7,1,0.10200039611804318
107,3,0.7,2,0.11665676371558724
108,3,0.7,3,0.04495939790057437
109,3,0.7,4,0.016042780748663103
110,3,0.8,0,0.10200039611804318
111,3,0.8,1,0.04495939790057437
112,3,0.8,2,0.11665676371558724
113,3,0.8,3,0.04495939790057437
114,3,0.8,4,0.016042780748663103
115,3,0.9,0,0.04495939790057437
116,3,0.9,1,0.04495939790057437
117,3,0.9,2,0.04495939790057437
118,3,0.9,3,0.0
119,3,0.9,4,0.04495939790057437
120,4,0.2,0,0.06793424440483264
121,4,0.2,1,0.14913844325609033
122,4,0.2,2,0.14913844325609033
123,4,0.2,3,0.14913844325609033
