	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
c14781	0	-1	40	37	23	8	0	-1	0	-1	0	-1	0	7	0	49	0	26	9	0	-1	0	-1	0	21	0	0	0	21	19
c14867	0	0	-1	-1	0	0	0	-1	0	-1	-1	-1	13	-1	19	49	7	48	-1	0	-1	0	7	-1	21	0	0	0	0	-1
c14880	0	0	44	0	0	0	0	0	10	-1	-1	-1	14	24	0	0	4	0	0	2	-1	0	7	0	1	0	13	-1	38	15
c14915	0	0	15	19	0	0	-1	-1	0	0	-1	-1	0	12	0	0	1	0	-1	0	0	0	13	0	-1	7	-1	0	0	34
c15072	0	0	0	-1	-1	-1	0	-1	-1	0	0	-1	-1	0	-1	49	0	0	0	15	44	22	-1	0	21	0	0	0	0	32
c15249	-1	0	50	0	-1	0	0	9	0	-1	-1	0	49	0	-1	0	0	12	7	0	0	0	19	0	24	-1	47	0	-1	-1
c15371	0	0	44	23	0	20	0	0	-1	0	-1	-1	14	24	0	-1	4	-1	0	8	0	0	7	0	20	-1	13	0	38	15
c15387	0	0	0	7	0	-1	-1	5	21	0	0	33	0	0	0	-1	0	32	0	0	-1	0	0	0	-1	-1	-1	8	-1	-1
c15409	0	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	32	0	0	0	2	0	13	13	0	0	0	0	26	-1	-1	1	-1
c15660	0	-1	44	36	23	0	-1	-1	39	-1	-1	0	0	-1	0	0	4	0	0	0	-1	-1	0	-1	-1	-1	13	-1	38	15
c15691	7	0	40	37	-1	0	0	-1	0	22	-1	-1	-1	0	0	49	2	0	0	-1	0	-1	-1	0	21	0	19	0	-1	0
c15777	0	0	2	23	0	0	8	-1	0	0	0	-1	22	0	-1	49	41	50	0	0	13	-1	0	0	21	47	-1	0	-1	0
c15842	0	29	0	0	23	30	0	-1	0	22	0	-1	21	0	0	-1	48	0	0	10	-1	0	-1	0	21	-1	0	17	0	0
c16022	0	0	44	0	39	32	0	-1	22	11	0	15	48	13	0	-1	4	0	0	0	0	0	4	0	12	0	0	7	-1	15
c16028	-1	0	-1	-1	0	-1	-1	-1	0	22	0	-1	0	-1	40	-1	0	5	39	0	0	0	0	0	21	35	15	-1	-1	0
c16043	35	0	0	25	0	0	0	12	-1	0	0	13	-1	0	0	-1	1	-1	0	-1	29	0	10	48	-1	0	0	10	0	-1
c16078	0	0	-1	-1	0	-1	0	-1	0	20	30	0	0	-1	0	0	0	-1	-1	-1	0	0	19	14	24	7	0	0	0	0
c16079	0	-1	-1	-1	0	-1	23	2	0	20	-1	0	0	32	0	0	0	15	0	10	0	-1	19	14	24	7	-1	15	-1	-1
c16153	8	-1	8	49	-1	13	0	-1	0	12	-1	7	0	-1	32	7	1	0	0	7	-1	0	19	0	-1	0	0	0	45	23
c16174	0	48	0	0	12	0	0	-1	32	12	-1	-1	36	2	19	0	-1	-1	0	13	0	0	0	0	15	0	0	0	-1	-1
c16312	-1	-1	-1	24	0	-1	0	2	0	20	0	0	22	-1	0	-1	0	0	-1	10	0	0	19	-1	24	7	-1	0	0	0
c16537	33	14	1	22	0	0	23	-1	0	0	-1	8	40	0	2	-1	0	29	0	0	-1	37	19	0	24	0	-1	8	-1	0
c16585	35	0	17	0	0	-1	0	-1	0	-1	0	0	-1	-1	0	-1	1	0	-1	2	0	0	0	3	0	44	0	10	50	0
c16601	-1	33	44	49	0	-1	0	0	0	0	-1	-1	14	24	-1	0	4	22	0	33	0	0	49	0	0	0	13	0	38	15
c16704	0	12	44	0	0	0	32	0	0	9	24	37	-1	19	-1	22	4	-1	0	13	-1	0	0	-1	-1	0	0	-1	38	15
c16794	0	0	-1	-1	0	-1	32	0	-1	0	-1	50	14	24	0	0	4	0	44	0	0	12	7	0	-1	0	13	0	38	-1
c16901	-1	0	-1	0	0	0	-1	-1	0	0	0	-1	0	0	-1	49	0	0	0	0	-1	-1	36	-1	21	0	-1	0	0	-1
c16902	-1	-1	-1	-1	-1	10	13	-1	0	-1	32	-1	0	32	0	49	7	0	0	0	-1	0	-1	0	21	31	-1	0	0	-1
c17036	22	12	44	0	0	-1	-1	0	0	0	0	-1	-1	13	0	-1	4	24	0	-1	0	-1	9	-1	0	33	0	-1	38	15
c17305	0	50	-1	0	38	-1	0	0	-1	0	8	0	-1	38	23	0	0	0	0	0	26	2	0	0	-1	0	-1	0	-1	40
c17562	-1	0	0	19	0	-1	47	7	1	0	0	0	-1	-1	0	0	-1	-1	0	20	-1	0	32	0	0	0	0	0	0	-1
c17609	-1	0	0	0	23	-1	-1	-1	50	22	0	-1	0	0	-1	-1	0	0	0	-1	0	0	-1	0	21	7	0	17	-1	-1
c17611	-1	23	44	-1	0	0	0	0	0	0	-1	-1	0	-1	-1	0	4	0	1	12	9	0	-1	39	0	-1	13	-1	38	-1
c17697	0	-1	44	0	9	21	-1	-1	0	-1	-1	0	0	-1	0	-1	-1	0	50	0	0	0	10	-1	1	0	-1	-1	-1	15
c17708	0	0	2	7	0	-1	8	-1	0	0	10	-1	0	0	-1	49	41	50	-1	0	0	-1	-1	0	21	0	5	-1	-1	0
c17735	0	0	43	0	32	0	-1	-1	-1	0	0	-1	0	0	-1	49	-1	0	0	0	0	0	22	13	-1	0	0	0	10	0
c17780	0	0	0	0	0	0	2	0	1	-1	36	0	0	0	-1	-1	1	0	0	0	0	0	0	-1	-1	0	0	-1	0	0
c17946	0	0	0	-1	-1	0	0	7	0	0	15	0	0	0	0	49	-1	-1	1	15	-1	0	0	10	21	0	0	48	-1	19
c17990	0	-1	0	-1	0	0	0	0	0	-1	-1	-1	0	-1	0	0	1	49	-1	0	0	0	19	12	24	19	0	0	49	0
c18025	0	7	0	-1	0	0	-1	-1	0	10	-1	-1	1	-1	0	49	14	39	-1	0	0	0	-1	0	21	0	11	23	9	7
c18026	0	-1	0	0	0	0	0	1	-1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	1	-1
c18059	0	13	0	19	0	-1	-1	0	1	2	0	0	15	0	33	0	-1	22	-1	8	-1	0	0	0	0	0	1	0	0	0
c18078	0	0	0	-1	0	-1	0	0	-1	4	-1	0	0	39	0	0	1	0	-1	13	23	0	0	48	-1	0	0	0	0	0
c18235	-1	-1	43	0	-1	0	-1	-1	-1	0	0	-1	0	-1	0	-1	30	1	0	-1	0	1	0	13	-1	0	0	22	10	0
c18236	0	0	44	33	30	0	0	-1	0	-1	-1	-1	14	-1	0	0	4	0	0	0	0	-1	7	0	-1	-1	13	-1	38	-1
c18353	0	0	42	-1	13	-1	8	-1	0	20	0	11	32	0	10	0	0	-1	0	21	-1	0	19	32	24	-1	0	1	-1	0
c18526	0	-1	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	48	49	0	-1	12	0	0	-1	0	0	21	32	0	-1	0	39
c18627	0	0	-1	0	-1	-1	30	0	0	-1	0	0	-1	0	0	49	0	0	-1	-1	0	0	31	-1	21	-1	36	7	48	39
c18652	0	0	-1	0	24	-1	0	0	0	20	0	-1	0	-1	48	0	1	10	0	-1	36	0	19	0	24	0	0	0	0	-1
c18758	0	0	43	0	-1	0	0	-1	0	0	0	-1	0	0	0	49	30	-1	-1	0	0	0	0	13	-1	0	0	0	10	-1
c18952	-1	48	-1	48	0	-1	0	0	0	0	0	0	50	0	0	49	0	-1	0	13	22	43	0	17	0	0	-1	19	-1	0
c18960	0	0	0	49	-1	0	0	0	15	-1	0	0	49	0	0	0	-1	-1	-1	-1	0	0	19	-1	-1	0	47	0	0	-1
c19125	0	0	44	5	7	0	0	13	0	-1	-1	-1	0	13	0	43	4	0	0	0	0	-1	9	0	41	-1	-1	0	38	15
c19437	0	0	-1	-1	0	-1	0	-1	0	-1	0	-1	0	50	32	49	0	0	0	10	0	19	-1	0	21	0	-1	0	0	0
c19666	-1	0	0	0	47	0	0	0	-1	13	0	0	50	0	9	49	-1	0	0	13	0	43	0	0	0	47	16	19	-1	0
c19669	0	-1	-1	0	0	0	0	-1	0	-1	-1	-1	-1	-1	0	49	39	0	-1	0	-1	0	-1	35	21	-1	-1	0	0	50
c19683	-1	-1	0	13	0	19	-1	-1	0	0	0	-1	-1	0	26	49	-1	-1	48	0	-1	0	-1	0	-1	0	0	0	-1	50
c19690	0	0	43	0	-1	0	0	-1	-1	19	0	-1	0	0	-1	49	30	0	0	0	26	0	-1	-1	-1	1	0	0	-1	0
c19699	0	-1	-1	19	-1	-1	20	0	1	2	1	0	-1	0	33	-1	-1	22	0	0	0	48	0	-1	0	-1	-1	0	0	0
c19733	0	0	0	0	-1	-1	-1	-1	1	20	0	-1	16	-1	-1	0	-1	0	0	-1	36	0	19	0	24	0	0	0	0	-1
c19743	0	9	0	19	0	0	0	0	1	0	-1	0	0	-1	0	11	-1	0	0	-1	-1	0	-1	0	0	0	-1	12	13	0
c19748	0	0	0	0	1	-1	0	-1	0	-1	-1	-1	0	0	-1	49	7	0	50	41	10	-1	7	-1	21	30	0	0	0	0
c19756	0	-1	-1	50	0	0	-1	-1	-1	-1	0	-1	-1	-1	0	49	0	0	0	0	0	13	7	37	-1	-1	0	0	0	0
c19792	0	32	-1	-1	0	-1	0	-1	0	0	2	-1	-1	13	0	49	0	0	0	40	0	22	0	0	21	26	-1	0	-1	32
c20162	-1	14	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	49	0	0	7	0	8	0	-1	0	21	0	0	-1	0	2
c20272	0	-1	0	0	38	0	14	-1	0	22	0	-1	0	0	-1	49	-1	5	0	0	7	30	14	0	-1	0	-1	0	0	-1
