tree_index	node_name	label
9	node108	{'NMPs', 'Somite', 'NeuralTube'}
0	node109	{'NeuralTube', 'Somite'}
1	node109	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
12	node109	{'NeuralTube', 'Somite'}
13	node109	{'NMPs', 'Somite', 'NeuralTube'}
4	node109	{'NMPs', 'Somite', 'NeuralTube'}
5	node109	{'NMPs', 'Somite', 'NeuralTube'}
8	node109	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
9	node109	{'NMPs', 'Somite', 'NeuralTube'}
0	node11	{'NMPs', 'Somite', 'NeuralTube'}
1	node11	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
10	node11	{'NMPs', 'Somite', 'NeuralTube'}
11	node11	{'NMPs', 'Somite', 'NeuralTube'}
12	node11	{'NMPs', 'Somite', 'NeuralTube'}
3	node11	{'NMPs', 'Somite', 'NeuralTube'}
4	node11	{'NMPs', 'Somite', 'NeuralTube'}
5	node11	{'NMPs', 'Somite', 'NeuralTube'}
6	node11	{'NMPs', 'Somite', 'NeuralTube'}
8	node11	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
9	node11	{'NeuralTube', 'Somite'}
0	node110	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
1	node110	{'NeuralTube', 'Somite'}
11	node110	{'NMPs', 'Somite', 'NeuralTube'}
12	node110	{'NeuralTube', 'Somite'}
13	node110	{'NeuralTube', 'Somite'}
8	node110	{'NMPs', 'Somite', 'NeuralTube'}
9	node110	{'NMPs', 'Somite', 'NeuralTube'}
0	node111	{'NeuralTube', 'Somite'}
1	node111	{'NeuralTube', 'Somite'}
11	node111	{'NeuralTube', 'Somite'}
2	node111	{'NeuralTube', 'Somite'}
4	node111	{'NeuralTube', 'Somite'}
5	node111	{'NeuralTube', 'Somite'}
8	node111	{'NMPs', 'Somite', 'NeuralTube'}
12	node112	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
13	node112	{'NMPs', 'Somite', 'NeuralTube'}
4	node112	{'NeuralTube', 'Somite'}
5	node112	{'NMPs', 'Somite', 'NeuralTube'}
1	node113	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
11	node113	{'NMPs', 'Somite', 'NeuralTube'}
13	node113	{'NMPs', 'Somite', 'NeuralTube'}
4	node113	{'NMPs', 'Somite', 'NeuralTube'}
1	node114	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
12	node114	{'NMPs', 'Somite', 'NeuralTube'}
13	node114	{'NMPs', 'Somite', 'NeuralTube'}
2	node114	{'NeuralTube', 'Somite'}
4	node114	{'NMPs', 'Somite', 'NeuralTube'}
8	node114	{'NMPs', 'Somite', 'NeuralTube'}
0	node115	{'NeuralTube', 'Somite'}
1	node115	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
11	node115	{'NMPs', 'Somite', 'NeuralTube'}
12	node115	{'NMPs', 'Somite', 'NeuralTube'}
4	node115	{'NMPs', 'Somite', 'NeuralTube'}
5	node115	{'NeuralTube', 'Somite'}
8	node115	{'NMPs', 'Somite', 'NeuralTube'}
0	node116	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
1	node116	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
12	node116	{'NeuralTube', 'Somite'}
13	node116	{'NeuralTube', 'Somite'}
2	node116	{'NMPs', 'Somite', 'NeuralTube'}
8	node116	{'NeuralTube', 'Somite'}
9	node116	{'NeuralTube', 'Somite'}
1	node117	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
12	node117	{'NeuralTube', 'Somite'}
4	node117	{'NMPs', 'Somite', 'NeuralTube'}
8	node117	{'NMPs', 'Somite', 'NeuralTube'}
0	node118	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
10	node118	{'NMPs', 'Somite', 'NeuralTube'}
13	node118	{'NeuralTube', 'Somite'}
1	node119	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
10	node119	{'NMPs', 'Somite', 'NeuralTube'}
13	node119	{'NeuralTube', 'Somite'}
